True Labels,Predictions
1,7
2,9
0,3
2,2
1,3
1,2
0,2
2,2
2,2
0,2
2,2
2,2
1,2
0,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
0,2
1,2
2,2
0,2
1,2
2,2
1,2
1,2
2,2
2,2
2,4
1,1
1,9
2,2
1,0
0,2
0,2
1,2
1,2
2,2
1,2
2,2
2,2
2,2
1,2
1,2
2,2
1,2
2,2
1,2
1,2
1,2
2,2
2,2
1,2
1,2
2,2
1,2
2,2
1,2
1,2
2,2
1,4
1,11
2,3
1,2
2,2
1,2
2,2
1,2
1,2
2,2
1,2
2,2
2,2
1,2
1,2
2,2
1,2
0,2
0,2
2,2
1,2
2,2
1,2
1,2
1,2
0,2
2,2
1,2
2,2
1,2
2,2
0,2
0,0
1,9
2,3
1,9
1,3
1,2
1,2
1,2
1,2
0,2
1,2
1,2
0,2
1,2
1,2
1,2
2,2
1,2
2,2
2,2
2,2
1,2
1,2
2,2
0,2
1,2
1,2
2,2
2,2
2,2
1,2
1,2
0,4
1,1
0,3
0,2
1,10
1,2
1,2
2,2
2,2
1,2
1,2
2,2
2,2
1,2
2,2
1,2
2,2
1,2
2,2
2,2
0,2
2,2
1,2
2,2
1,2
2,2
1,2
2,2
2,2
0,2
1,2
1,2
2,4
0,7
0,4
1,9
0,8
0,2
2,2
1,2
2,2
1,2
2,2
1,2
1,2
1,2
1,2
1,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
0,2
1,2
0,2
2,2
2,2
2,2
1,2
0,2
1,2
2,12
1,10
1,8
1,2
2,0
1,2
1,2
2,2
1,2
1,2
2,2
0,2
1,2
1,2
1,2
1,2
0,2
1,2
1,2
2,2
1,2
1,2
1,2
2,2
1,2
2,2
1,2
1,2
2,2
1,2
1,2
1,2
1,9
1,7
0,3
2,5
1,11
2,2
1,2
1,2
2,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,2
0,2
1,2
0,2
1,2
1,2
2,2
1,2
1,2
2,2
1,4
1,11
2,8
2,9
1,2
2,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
0,2
0,2
1,2
0,2
1,2
0,2
2,2
0,2
0,2
1,2
2,2
1,2
1,2
2,2
2,2
0,2
0,2
2,9
1,11
1,3
1,2
1,11
0,2
1,2
2,2
1,2
2,2
2,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,2
1,2
2,2
2,2
1,2
0,2
1,2
2,2
1,2
2,2
1,2
2,2
2,2
2,2
1,3
1,1
0,8
1,1
0,3
0,2
2,2
2,2
1,2
2,2
1,2
1,2
2,2
1,2
2,2
0,2
1,2
1,2
2,2
2,2
0,2
1,2
1,2
2,2
1,2
0,2
1,2
1,2
1,2
1,2
0,2
1,2
1,3
1,7
1,3
2,9
1,9
2,2
1,2
1,2
1,2
1,2
2,2
1,2
1,2
0,2
2,2
1,2
1,2
2,2
2,2
0,2
0,2
1,2
1,2
1,2
0,2
2,2
2,2
0,2
2,2
1,2
1,2
0,2
0,9
0,7
1,8
1,2
1,10
2,2
1,2
0,2
2,2
1,2
1,2
0,2
1,2
1,2
2,2
2,2
0,2
2,2
2,2
2,2
1,2
2,2
2,2
0,2
0,2
1,2
2,2
1,2
1,2
1,2
1,2
2,2
1,3
0,7
1,3
1,9
2,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,2
0,2
1,2
2,2
1,2
1,2
0,2
1,2
2,2
1,2
0,2
0,2
1,2
1,2
1,2
1,2
1,2
0,2
1,2
0,2
2,12
1,11
1,9
1,2
1,8
1,2
1,2
0,2
1,2
1,2
1,2
1,2
1,2
1,2
0,2
1,2
2,2
2,2
2,2
0,2
2,2
2,2
2,2
0,2
0,2
1,2
2,2
2,2
1,2
1,2
1,2
1,2
1,12
2,10
1,8
1,2
1,10
2,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,2
0,2
1,2
0,2
1,2
2,2
1,2
2,2
1,2
2,2
0,2
1,2
2,2
1,2
1,2
1,2
2,2
2,9
2,1
1,4
2,9
1,0
0,2
2,2
1,2
1,2
2,2
0,2
2,2
1,2
1,2
1,2
2,2
2,2
1,2
0,2
1,2
2,2
1,2
2,2
0,2
0,2
1,2
2,2
1,2
2,2
1,2
2,2
0,2
0,4
2,7
2,14
2,10
0,3
1,2
1,2
2,2
1,2
1,2
2,2
0,2
2,2
1,2
1,2
1,2
1,2
2,2
2,2
2,2
1,2
1,2
1,2
2,2
0,2
1,2
1,2
2,2
2,2
1,2
0,2
1,2
2,7
2,7
2,9
1,0
1,2
1,2
2,2
0,2
2,2
1,2
2,2
1,2
1,2
2,2
2,2
1,2
1,2
2,2
1,2
1,2
2,2
2,2
1,2
1,2
1,2
1,2
2,2
0,2
2,2
0,2
1,2
1,2
1,3
2,9
1,3
0,0
0,10
1,2
1,2
0,2
2,2
1,2
1,2
2,2
1,2
2,2
0,2
1,2
0,2
1,2
0,2
2,2
1,2
2,2
0,2
2,2
2,2
