True Labels,Predictions
6,28
3,4
14,4
2,4
18,4
8,4
0,3
16,4
1,4
15,4
12,1
19,4
18,4
19,4
5,4
1,4
13,4
9,4
1,28
19,5
3,28
10,28
4,4
15,4
17,4
3,4
7,4
11,20
7,4
3,7
10,4
4,4
9,20
6,7
17,20
4,4
10,28
0,28
10,28
1,7
1,4
13,40
13,39
15,30
7,4
1,28
2,39
8,39
7,34
16,5
2,50
5,34
7,40
7,34
11,40
12,41
17,40
1,40
3,40
6,34
14,39
10,40
8,40
6,40
12,19
13,20
15,4
5,8
17,29
3,11
2,29
6,21
7,21
8,11
9,9
14,4
13,8
10,11
15,3
7,4
15,6
0,11
1,11
16,5
17,11
10,11
6,11
4,15
11,19
13,4
1,11
7,20
2,4
13,7
7,6
1,4
3,20
10,7
13,20
2,22
1,22
12,21
4,31
11,7
6,31
1,24
7,31
0,8
5,4
8,14
4,2
6,39
9,6
11,5
4,34
0,34
0,34
0,5
0,5
0,40
0,40
0,34
0,46
0,40
0,39
0,40
0,46
0,40
0,28
0,4
0,4
0,19
0,31
0,11
0,29
0,4
0,4
0,4
0,28
0,4
0,4
0,10
0,4
0,4
0,6
0,11
0,11
0,5
0,28
0,28
0,4
0,4
0,4
0,4
0,4
0,20
0,4
0,20
0,4
0,4
0,20
0,6
0,20
0,4
0,28
0,28
0,31
0,7
0,31
0,40
0,39
0,39
0,40
0,28
0,39
0,39
0,6
0,5
0,50
0,34
0,40
0,5
0,40
0,40
0,40
0,40
0,40
0,5
0,39
0,40
0,40
0,40
0,7
0,7
0,5
0,5
0,6
0,4
0,6
0,5
0,6
0,4
0,5
0,5
0,0
0,4
0,30
0,3
0,4
0,30
0,30
0,4
0,30
0,4
0,30
0,25
0,3
0,0
0,0
0,4
0,0
0,0
0,0
0,0
0,0
0,54
0,47
0,47
0,54
0,47
0,47
0,46
0,47
0,62
0,62
0,63
0,62
0,47
0,63
0,61
0,62
0,60
0,63
0,16
0,0
0,13
0,16
0,11
0,0
0,4
0,49
0,16
0,63
0,16
0,48
0,15
0,8
0,5
0,5
0,27
0,10
0,29
0,5
0,10
0,30
0,29
0,27
0,4
0,4
0,4
0,30
0,26
0,30
0,0
0,30
0,0
0,30
0,4
0,0
0,4
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,26
0,48
0,0
0,48
0,0
0,47
0,26
0,27
0,27
0,4
0,5
0,48
0,47
0,1
0,3
0,4
0,0
0,0
0,4
0,0
0,0
0,0
0,27
0,0
0,0
0,0
0,0
0,0
0,10
0,26
0,4
0,12
0,7
0,5
0,5
0,6
0,4
0,5
0,5
0,6
0,4
0,5
0,5
0,5
0,4
0,5
0,3
0,11
0,4
0,4
0,4
0,4
0,4
0,0
0,25
0,3
0,0
0,0
0,25
0,5
0,0
0,0
0,0
0,0
0,48
0,48
0,0
0,48
0,48
0,48
0,4
0,11
0,12
0,63
0,5
0,48
0,50
0,12
0,3
0,61
0,4
0,63
0,4
0,0
0,13
0,0
0,11
0,0
0,4
0,16
0,0
0,63
0,15
0,48
0,4
0,0
0,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
