True Labels,Predictions
1,11
2,1
0,6
2,12
1,2
1,1
0,1
2,1
2,1
0,6
2,1
2,11
1,1
0,1
1,11
1,11
1,15
1,11
1,2
1,2
1,11
1,1
0,2
1,1
2,2
0,7
1,15
2,1
1,11
1,2
2,1
2,1
2,1
1,22
1,16
2,1
1,31
0,1
0,12
1,11
1,31
2,1
1,1
2,11
2,11
2,2
1,12
1,11
2,16
1,1
2,21
1,1
1,1
1,10
2,2
2,2
1,2
1,11
2,1
1,27
2,12
1,16
1,2
2,11
1,2
1,11
2,1
1,2
2,2
1,2
2,21
1,1
1,4
2,12
1,10
2,7
2,11
1,2
1,11
2,22
1,2
0,6
0,1
2,21
1,11
2,1
1,12
1,32
1,32
0,16
2,12
1,7
2,1
1,16
2,1
0,2
0,1
1,1
2,7
1,11
1,36
1,11
1,11
1,31
1,1
0,36
1,25
1,11
0,12
1,2
1,12
1,1
2,2
1,19
2,1
2,0
2,1
1,7
1,2
2,7
0,1
1,12
1,1
2,12
2,1
2,1
1,1
1,26
0,32
1,1
0,6
0,16
1,12
1,1
1,1
2,2
2,1
1,6
1,22
2,1
2,2
1,1
2,21
1,0
2,12
1,16
2,22
2,6
0,1
2,26
1,11
2,22
1,15
2,2
1,31
2,2
2,1
0,12
1,11
1,31
2,1
0,12
0,10
1,12
0,1
0,22
2,12
1,1
2,1
1,7
2,6
1,7
1,22
1,27
1,11
1,11
2,11
2,2
2,2
2,1
2,16
2,2
2,2
0,1
1,1
0,1
2,11
2,2
2,2
1,1
0,6
1,1
2,31
1,1
1,22
1,32
2,16
1,12
1,6
2,11
1,17
1,21
2,0
0,11
1,1
1,2
1,2
1,12
0,12
1,12
1,11
2,1
1,10
1,7
1,11
2,1
1,16
2,1
1,2
1,1
2,31
1,11
1,1
1,11
1,11
1,6
0,1
2,1
1,11
2,1
1,21
1,11
2,32
1,2
1,12
1,31
1,11
1,12
1,11
1,2
1,1
1,11
1,11
1,1
1,31
1,21
2,6
0,1
1,1
0,2
1,1
1,2
2,11
1,10
1,1
2,11
1,16
1,11
2,11
2,21
1,2
2,1
1,1
1,1
1,2
1,21
1,1
1,21
1,1
1,1
1,12
0,1
0,1
1,31
0,10
1,11
0,11
2,1
0,1
0,16
1,17
2,7
1,2
1,22
2,12
2,21
0,6
0,21
2,31
1,11
1,2
1,2
1,11
0,1
1,11
2,12
1,1
2,7
2,1
1,0
1,32
1,22
1,1
1,1
1,27
1,11
2,17
1,2
2,1
2,12
1,11
0,21
1,1
2,12
1,1
2,6
1,5
2,6
2,17
2,26
1,17
1,2
0,11
1,17
0,1
0,16
2,6
2,1
1,16
2,11
1,12
1,2
2,1
1,6
2,1
0,1
1,21
1,12
2,11
2,7
0,12
1,1
1,6
2,6
1,15
0,12
1,11
1,2
1,6
1,6
0,1
1,21
1,16
1,6
1,12
2,1
1,6
2,7
1,11
1,1
1,26
1,11
2,1
1,1
1,17
0,16
2,22
1,1
1,21
2,2
2,17
0,32
0,1
1,1
1,11
1,22
0,1
2,12
2,16
0,1
2,7
1,32
1,1
0,0
0,5
0,2
1,1
1,2
1,1
2,2
1,2
0,11
2,11
1,1
1,1
0,21
1,1
1,1
2,1
2,11
0,1
2,2
2,17
2,11
1,12
2,1
2,12
0,7
0,1
1,11
2,11
1,12
1,1
1,2
1,2
2,5
1,21
0,1
1,12
1,31
2,2
1,16
1,11
1,6
1,1
1,1
1,27
1,2
2,41
0,1
1,1
2,1
1,16
1,11
0,6
1,1
2,10
1,1
0,6
0,11
1,11
1,16
1,16
1,1
1,11
0,16
1,1
0,1
2,1
1,11
1,11
1,7
1,17
1,2
1,6
0,12
1,6
1,2
1,11
1,12
1,21
1,15
0,21
1,1
2,10
2,6
2,5
0,5
2,11
2,0
2,11
0,11
0,6
1,31
